@relation 'runoff_4km_train'
@attribute 'P1' real
@attribute 'P2' real
@attribute 'T1' real
@attribute 'T2' real
@attribute 'SCA_4' real
@attribute 'Q-1' real
@attribute 'Q' real
@data
0,0,24.3,19.1,0.00,41.3,38.7
0,0,24.7,19,0.00,38.7,38.1
0,0,24.8,20.2,0.00,38.1,37.6
0,0,23.3,18,0.00,37.6,38.7
0,0,24.4,19.6,0.00,38.7,40.2
0,0,24.6,19,0.00,40.2,42.5
0,0,24,17.9,0.00,42.5,43.2
0,0,23.9,19,0.00,43.2,40.8
0,0,25.2,17.7,0.00,40.8,37.6
0,0,24.7,17.1,0.00,37.6,36
0,0,24.8,18.4,0.00,36,35.5
0,0,23.6,18.9,0.00,35.5,35
0,0,22.3,17.8,0.00,35,36
0,0,22,17,0.00,36,37.1
1.4,5.2,18.8,13.5,0.00,37.1,43.2
0,0.8,17.7,13.9,0.00,43.2,38.1
0,0,17.4,13.6,0.00,38.1,39.7
0,0,21,13.7,0.00,39.7,38.7
0,0,21.2,16.4,0.00,38.7,35.5
0,0,17.5,13,0.00,35.5,37.1
0,0,15.4,9.8,0.00,37.1,37.1
0,0,14.2,8.1,0.00,37.1,36
0,0,15.2,12.4,0.00,36,36.5
0,0,19.2,12,0.00,36.5,39.7
0,0,20.6,13.4,0.00,39.7,42.5
0,0,20.3,14.6,0.00,42.5,44.4
0,0,19.6,14,0.00,44.4,44.4
0,0,19.8,13.2,0.00,44.4,45
0,0,18.6,12.2,0.00,45,45.6
0,0,18.8,12.8,0.00,45.6,45.6
0,0,21.2,13.2,0.00,45.6,43.8
0,0,19.4,14.4,0.00,43.8,44.4
0,0,19,14.2,0.00,44.4,39.2
0,0,18.7,12.3,0.00,39.2,38.1
0,0,19.8,12.8,0.00,38.1,37.6
0,0,19.3,15.3,0.00,37.6,37.6
0,0,19.4,12.5,0.00,37.6,37.6
0,0,22.2,14.2,0.00,37.6,37.1
0,0,20.2,13.7,0.00,37.1,37.6
0,0,19.8,13.9,0.00,37.6,45
7.4,13.6,8.9,3,76.69,45,104
11.5,11.5,7.9,4.2,76.69,104,150
7.6,1.5,2.3,1.2,76.69,150,192
2.2,3.8,3.2,-0.9,76.69,192,199
0,0.2,5.8,-0.4,76.69,199,175
0,0,7.3,1.5,76.69,175,151
0,0,8.6,0.6,76.69,151,135
0,0,11.9,2.1,76.69,135,128
0,0,14.7,5.6,61.26,128,128
0,0,13.9,6.8,55.59,128,133
0,0,15.3,6.3,55.59,133,144
0,0,16.8,6.7,55.59,144,163
0,0,17.1,10.4,55.59,163,180
0,0,16.2,8.6,55.59,180,195
13.8,1.2,10,8.4,55.59,195,243
9.4,1,9.6,5.3,55.59,243,274
2.4,1,11.8,6,55.59,274,265
2.5,0,13.4,9.4,55.59,265,237
1.4,0.2,13.8,11.1,55.59,237,237
0,0.1,13.7,7.8,17.32,237,268
0,0,16.6,9,17.32,268,268
0,0,14.2,9.9,17.32,268,262
2.1,0.4,15.2,10.5,17.32,262,268
5.5,10.7,12.6,8.4,17.32,268,381
1.4,10.1,11.6,7.6,17.32,381,569
0,8.1,15,8.2,17.32,569,767
0,0,15.3,9.8,17.32,767,670
2.3,0.1,10,6,17.32,670,540
12.4,4.2,11.8,7,17.32,540,502
0,0,9.4,10.3,17.32,502,464
3.3,0,9.4,7.8,17.32,464,401
0.8,1.9,9.9,7.4,17.32,401,371
2,8.8,7.2,2.8,17.32,371,352
0,7.1,9.8,5,17.32,352,336
0,0,11.8,6,17.32,336,310
0,0,15.6,10.3,17.32,310,274
1.6,0,16.4,11.2,17.32,274,265
1.2,3.2,14.1,10.9,17.32,265,283
6.8,6,14.3,7.8,17.32,283,329
0,10.5,16.2,9.7,17.32,329,388
0,0,18.4,12.9,12.44,388,374
0,0,19.2,13.4,12.44,374,344
0,0,16.4,13,12.44,344,326
1.8,2.6,12.2,9,5.67,326,316
0,3.6,16.4,9.7,5.67,316,306
0,0.3,17.4,10.6,5.67,306,292
0,0,17.9,10.8,5.67,292,280
0,0,19.4,12.2,5.67,280,262
0,0,19.4,10,5.67,262,246
0,0.4,20.2,11.3,5.67,246,233
0,0,23,15.7,5.67,233,230
0,0.4,22,14.8,5.67,230,230
0,9.9,17.8,13.4,5.67,230,236
3.2,3.8,14,9.2,5.67,236,247
3.6,18.4,16.2,10.6,5.67,247,258
1.3,3.4,15.1,11.2,5.67,258,262
1.9,5.8,16,10.6,5.67,262,259
1.8,2.4,19,13.1,5.67,259,261
0,3.5,19.6,14.6,5.67,261,244
0,0,18.2,11.8,5.67,244,222
0.1,0.1,19.5,10.7,5.67,222,205
0,1,16,9.8,5.67,205,187
0.8,4.8,16,11.6,5.67,187,178
3.7,8.8,17.6,10.3,5.67,178,175
7.3,3.7,13.8,9.7,5.67,175,182
6.2,8.4,14.2,8.5,5.67,182,209
11.5,21.3,15.4,10.8,5.67,209,208
0,0,17.8,11.6,5.67,208,229
0,0,21.4,13.8,5.67,229,200
0,0,22.1,15.6,5.67,200,175
0,0,24.3,16.8,5.67,175,158
0,0,24.8,18.9,5.67,158,166
0,0,21.7,16.8,5.67,166,145
0,0,19,15,5.67,145,134
0,6.2,21,14.8,5.67,134,133
0.2,0,20.4,16,5.67,133,125
2.3,0.7,19.7,15.3,5.67,125,114
0,0,21.1,14.4,5.67,114,107
0,0,21.7,14.4,0.00,107,101
0,0,22.8,15.4,0.00,101,94.1
0,0,17.8,10.9,0.00,94.1,94.1
0.8,3.7,17.6,12.9,0.00,94.1,95.9
0,0,16.7,12.2,0.00,95.9,81.2
0,0,18.5,10.8,0.00,81.2,86
0,0,21.4,15.8,0.00,86,86
0,0,20.3,18,0.00,86,74.8
0,0.9,17.1,12.2,0.00,74.8,70.8
0,2.6,19.3,14.5,0.00,70.8,68.4
0,0,22.4,16,0.00,68.4,63.6
0,0,23.8,15.8,0.00,63.6,59.8
0,7.9,22.3,17.1,0.00,59.8,57.5
1.8,0,24.2,17.6,0.00,57.5,59.8
0,0,24.3,17.6,0.00,59.8,62
0,4.9,26,18,0.00,62,60.5
0,0,27.8,19.5,0.00,60.5,66
0,0,22.8,18.6,0.00,66,62
0.5,0,22.4,14.2,0.00,62,54.5
0,0.4,25,16.8,0.00,54.5,53.8
0,0,26,20.9,0.00,53.8,44.4
0,0,25.9,20.4,0.00,44.4,40.2
0,0.2,26.3,21.2,0.00,40.2,38.1
0,0,26.4,20.5,0.00,38.1,36.5
0,0,26,19.4,0.00,36.5,36
0,0,27.4,18.8,0.00,36,41.3
0,0,28.2,21.5,0.00,41.3,49.6
0,0,27.6,20.6,0.00,49.6,49.6
0,0,27.3,20.4,0.00,49.6,44.4
0,0,24,19.3,0.00,44.4,39.7
0,0,23.9,19.8,0.00,39.7,39.2
0,0,24.6,19.6,0.00,39.2,41.9
0,0,25.5,20.4,0.00,41.9,40.8
0,0,27.2,23,0.00,40.8,38.7
0,0,27.2,21.8,0.00,38.7,42.5
0,0,28.1,20.7,0.00,42.5,43.8
0,0,28.6,20.8,0.00,43.8,43.2
0,7.2,28,21.9,0.00,43.2,36
0,0,26.2,22.6,0.00,36,37.1
0,0,27.8,24.1,0.00,37.1,36.5
0,0,25,20.5,0.00,36.5,35
5.9,7.6,27.7,20.4,0.00,35,34.5
0,0,28.4,21.8,0.00,34.5,33.5
0.6,0,28,24.3,0.00,33.5,32.5
0,0,26.1,23.1,0.00,32.5,31.5
0,0,22.5,19,0.00,31.5,31.5
0,0.8,22,18.7,0.00,31.5,33
0,0.6,22.4,16.8,0.00,33,34
0,2,24.8,18.6,0.00,34,38.1
0,0.1,26.8,21,0.00,38.1,38.7
0,0,27.2,23.4,0.00,38.7,39.7
0,0,27.3,22.6,0.00,39.7,37.1
0,0,26.8,23.2,0.00,37.1,33
0,0.1,25.8,19.5,0.00,33,32
0.7,12.4,23.6,19.5,0.00,32,31
0,0.5,24.9,20.3,0.00,31,32.5
